Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.10     0.00    35454     0.00     0.00  std::vector<float, std::allocator<float> >::_S_do_relocate(float*, float*, float*, std::allocator<float>&, std::integral_constant<bool, true>)
  0.00      1.10     0.00    35454     0.00     0.00  std::vector<float, std::allocator<float> >::_S_use_relocate()
  0.00      1.10     0.00    35454     0.00     0.00  std::vector<float, std::allocator<float> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      1.10     0.00    35454     0.00     0.00  float* std::__relocate_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.00      1.10     0.00    35454     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&)
  0.00      1.10     0.00    35004     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator+=<float>(glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.10     0.00    35004     0.00     0.00  glm::detail::compute_vec4_add<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.10     0.00    35004     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator+<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.10     0.00    32077     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::max_size() const
  0.00      1.10     0.00    30748     0.00     0.00  fl_particle*&& std::forward<fl_particle*>(std::remove_reference<fl_particle*>::type&)
  0.00      1.10     0.00    28520     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.10     0.00    26935     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::_M_end()
  0.00      1.10     0.00    26918     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::_M_begin()
  0.00      1.10     0.00    26917     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<FLKey const, FLKeyState> > const&, std::_Rb_tree_iterator<std::pair<FLKey const, FLKeyState> > const&)
  0.00      1.10     0.00    26916     0.00     0.00  std::map<FLKey, FLKeyState, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::lower_bound(FLKey const&)
  0.00      1.10     0.00    26916     0.00     0.00  std::map<FLKey, FLKeyState, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::end()
  0.00      1.10     0.00    26916     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::lower_bound(FLKey const&)
  0.00      1.10     0.00    26916     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<FLKey const, FLKeyState> >*, std::_Rb_tree_node_base*, FLKey const&)
  0.00      1.10     0.00    26916     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::end()
  0.00      1.10     0.00    26907     0.00     0.00  std::map<FLKey, FLKeyState, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::key_comp() const
  0.00      1.10     0.00    26907     0.00     0.00  std::_Rb_tree<FLKey, std::pair<FLKey const, FLKeyState>, std::_Select1st<std::pair<FLKey const, FLKeyState> >, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::key_comp() const
  0.00      1.10     0.00    26907     0.00     0.00  std::map<FLKey, FLKeyState, std::less<FLKey>, std::allocator<std::pair<FLKey const, FLKeyState> > >::operator[](FLKey const&)
  0.00      1.10     0.00    25128     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int) const
  0.00      1.10     0.00    22680     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      1.10     0.00    21376     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      1.10     0.00    21376     0.00     0.00  std::allocator<float>::allocator()
  0.00      1.10     0.00    21376     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl()
  0.00      1.10     0.00    21376     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.10     0.00    21376     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base()
  0.00      1.10     0.00    21376     0.00     0.00  std::vector<float, std::allocator<float> >::vector()
  0.00      1.10     0.00    21351     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
